OSM_ESTIMATED_HEIGHT_M,levels_clean,DISTRICT,RERA_ID,PROJECT_NAME,PROMOTER_NAME,LOCATION_PIN_CODE,LATITUDE,LONGITUDE,PROPOSED_DATE_OF_COMPLETION,REVISED_PROPOSED_DATE_OF_COMPLETION,EXTENDED_DATE_OF_COMPLETION,PROJECT_TYPE,PROJECT_AREA_(SQMTS),RECREATIONAL_OPEN_SPACE,SANCTIONED_FSI,DATE_LAST_MODIFIED,CASES_COUNT,COMPLAINTS_COUNT,NUMBER_OF_APPARTMENTS,NUMBER_OF_BOOKED_APPARTMENTS,NUMBER_OF_BASEMENTS,NUMBER_OF_PLINTH,NUMBER_OF_PODIUMS,NUMBER_OF_SANCTIONED_FLOORS,NUMBER_OF_STILTS,TOTAL_NO__OF_OPEN_PARKING_AS_PER_SANCTIONED_PLAN_(4-WHEELER+2-WHEELER),NUMBER_OF_CLOSED_PARKING,SOURCE_REGION,CLEAN_PODIUMS,NON_RESIDENTIAL_FLOORS,RESIDENTIAL_START_FLOOR,TOTAL_LEVELS,HABITABLE_RESIDENTIAL_FLOORS,PODIUM_PARKING_RANGE,REFUGE_FLOORS,EST_FLATS_PER_FLOOR,FINAL_FLOORS,CLEAN_BASEMENTS,STRUCTURAL_HEIGHT_M,GROUND_ELEVATION_MSL_M,TERRAIN_HEIGHT_M,BUILT_VOLUME_CBM,HEIGHT_TIER,BASE_ULPIN_ID
21.7,7.0,Mumbai City,P51900005874,RUDRA HEIGHTS,GOLD PLAZA DEVELOPERS PVT LTD,400033,18.9856333,72.8441629,31-12-2018,31-12-2019,12/30/2021,Others,432.16,0.0,2547.04,03-05-2024,0,0,21,21,1.0,1,0,23,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,364,23.0,,71.3,11.78,11.78,3412259.3,High-Rise,IN-MH-MUM-P51900005874-18985
21.7,7.0,Mumbai City,P51900008592,Pawapuri,Blue Lotus Jewellery Pvt.Ltd,400033,18.9856333,72.8441629,30-06-2015,30-06-2018,06/30/2022,Residential,1321.92,1321.92,4078.03,03-10-2021,1,0,24,12,1.0,1,5,13,1,0,1,mumbai-city,5,6,7,7,1,Ground to Floor 6,,4078,13.0,,40.3,11.78,11.78,16711571.19,High-Rise,IN-MH-MUM-P51900008592-18985
21.7,7.0,Mumbai City,P51900005501,Atlantis Residency,JK BUILDERS,400033,18.9856333,72.8441629,31-12-2022,30-12-2023,12/31/2024,Others,1961.55,157.0,9628.18,02/22/2024,4,0,35,4,0.0,1,7,11,1,0,77,mumbai-city,0,1,2,7,6,Ground to Floor 1,,1605,11.0,,34.1,11.78,11.78,58547085.08,High-Rise,IN-MH-MUM-P51900005501-18985
3.1,1.0,Mumbai Suburban,P51800004366,MANTHAN EMBASSY,MANTHAN DEVELOPMENT CORPORATION,400050,19.06242,72.828374,31-12-2022,30-12-2024,0,Others,1611.1,311.72,3542.18,03/15/2024,0,0,21,1,0.0,1,3,17,1,0,0,mumbai-suburban,3,4,5,5,1,Ground to Floor 4,,3542,17.0,,52.7,15.62,15.62,17691099.21,High-Rise,IN-MH-MUM-P51800004366-19062
12.4,4.0,Mumbai City,P51900022725,CHAITYA 777,M/s. CHAITYA DEVELOPERS,400012,18.98628978,72.83483878,30-12-2025,30-12-2025,0,Residential,5229.14,593.46,20607.38,03-08-2024,0,0,133,103,1.0,1,7,19,1,0,299,mumbai-city,0,1,2,4,3,Ground to Floor 1,,6869,19.0,,58.9,11.81,11.81,334052512.66,High-Rise,IN-MH-MUM-P51900022725-18986
21.7,7.0,Mumbai City,P51900002902,VRAJ TIARA,VRAJ REALTORS,400025,19.01648334,72.82272351,31-12-2019,30-12-2022,12/30/2023,Residential,1134.36,0.0,1444.54,01-10-2024,0,0,55,46,1.0,1,8,32,1,0,67,mumbai-city,0,1,2,7,6,Ground to Floor 1,,241,32.0,,99.2,13.32,13.32,5079748.02,High-Rise,IN-MH-MUM-P51900002902-19016
21.7,7.0,Mumbai Suburban,P51800051668,BASHEERA RESIDENCY,YUSUF NOOR MOHD KHAN,400050,19.0535123,72.828605,31-12-2028,31-12-2028,0,Residential,860.3,0.0,2553.97,06/15/2023,0,0,68,0,0.0,1,0,9,1,40,0,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,426,9.0,,27.9,15.18,15.18,6811259.21,Mid-Rise,IN-MH-MUM-P51800051668-19053
21.7,7.0,Mumbai Suburban,P51800002198,MONTICELLO,SAMUDRA DEVELOPERS PRIVATE LIMITED,400051,19.045536,72.820305,30-11-2018,30-11-2019,09/29/2022,Residential,919.3,0.0,1802.06,10/24/2019,0,0,6,6,2.0,1,5,18,1,0,19,mumbai-suburban,5,6,7,7,1,Ground to Floor 6,,1802,18.0,,55.8,14.78,14.78,5135564.65,High-Rise,IN-MH-MUM-P51800002198-19045
21.7,7.0,Mumbai City,P51900007777,OCEAN STAR II,SURAJ ESTATE DEVELOPERS LTD,400028,18.938839,72.836412,,31-08-2018,08/31/2019,Residential,306.1,0.0,1038.86,07/22/2022,0,0,30,30,0.0,1,0,8,1,1,1,mumbai-city,0,1,2,7,6,Ground to Floor 1,,5,7.0,,21.7,9.44,9.44,985784.64,Mid-Rise,IN-MH-MUM-P51900007777-18938
21.7,7.0,Mumbai Suburban,P51800033552,CASA RAMIRO,PRESCOTT HOUSING LLP,400050,19.05185683,72.82671788,16-03-2024,16-03-2024,0,Residential,840.3,0.0,840.29,03/21/2024,0,0,5,4,0.0,1,0,7,1,0,9,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,140,7.0,,21.7,15.09,15.09,2188896.63,Mid-Rise,IN-MH-MUM-P51800033552-19051
21.7,7.0,Mumbai City,P51900009287,HBS Marineview,HBS Seaview Pvt Ltd,400002,18.948678,72.823369,31-12-2024,30-12-2025,0,Residential,977.0,280.56,2853.0,09/30/2019,1,5,77,32,2.0,1,9,21,1,0,127,mumbai-city,0,1,2,7,6,Ground to Floor 1,,476,21.0,,65.1,9.93,9.93,8640881.1,High-Rise,IN-MH-MUM-P51900009287-18948
21.7,7.0,Mumbai Suburban,P51800011792,PALI PALMS,SSD HOLDINGS LLP,400050,19.06333928,72.83066466,31-12-2018,31-12-2019,06/30/2023,Residential,873.7,0.0,2944.83,04/15/2023,0,1,22,21,0.0,1,2,13,1,3,1,mumbai-suburban,2,3,4,7,4,Ground to Floor 3,,736,13.0,,40.3,15.67,15.67,7975983.71,High-Rise,IN-MH-MUM-P51800011792-19063
21.7,7.0,Mumbai City,P51900004309,Mittal Avenue,Vedaang Builders LLP,400021,18.928944,72.832412,20-07-2020,20-01-2021,0,Commercial,383.78,0.0,1598.76,09-11-2019,0,0,13,5,0.0,1,0,4,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,228,4.0,,12.4,8.95,8.95,1902073.55,Low-Rise,IN-MH-MUM-P51900004309-18928
21.7,7.0,Mumbai Suburban,P51800046598,ATMIYA CENTRIA,UPTURN PROPERTIES LLP,400055,19.07950269,72.84868048,31-12-2026,31-12-2026,0,Residential,2078.41,0.0,0.0,01/15/2024,1,0,192,76,2.0,2,0,22,2,2,104,mumbai-suburban,0,2,3,7,5,Ground to Floor 2,,0,22.0,,68.2,16.48,16.48,0.0,High-Rise,IN-MH-MUM-P51800046598-19079
12.4,4.0,Mumbai City,P51900001723,PARK PALLAZZO,NANDIVARDHAN CONSTRUCTIONS PRIVATE LIMITED,400014,19.021129,72.849134,30-04-2019,31-12-2019,02/25/2021,Residential,936.46,0.0,3655.56,08-01-2020,0,0,12,8,0.0,1,4,23,1,0,50,mumbai-city,4,5,6,6,1,Ground to Floor 5,,3656,23.0,,71.3,13.56,13.56,10612185.72,High-Rise,IN-MH-MUM-P51900001723-19021
21.7,7.0,Mumbai City,P51900009939,FUEGO,HILTON INFRASTRUCTURE,400008,18.962912,72.824258,30-06-2016,30-12-2022,12/30/2024,Residential,4245.86,313.83,15936.18,03/13/2024,3,7,220,119,6.0,3,4,46,3,0,190,mumbai-city,4,4,5,7,3,Ground to Floor 4,,5312,46.0,,142.6,10.65,10.65,209754646.57,Skyscraper,IN-MH-MUM-P51900009939-18962
21.7,7.0,Mumbai City,P51900000604,Elanza,A R Constructions,400025,19.0158306,72.8293921,31-10-2017,31-03-2018,0,Residential,1791.82,146.03,5714.04,03/26/2019,4,0,49,7,0.0,1,0,23,1,0,63,mumbai-city,0,1,2,7,6,Ground to Floor 1,,952,23.0,,71.3,13.29,13.29,31739446.57,High-Rise,IN-MH-MUM-P51900000604-19015
21.7,7.0,Mumbai City,P51900009877,ASHISH SEA VIEW,SANGHVI GRUHA NIRAMAN PRIVATE LIMITED,400025,19.0158306,72.8293921,31-12-2014,30-06-2021,12/30/2022,Residential,2455.7,210.32,4316.81,10/27/2023,15,3,13,9,0.0,1,3,14,1,0,1,mumbai-city,3,4,5,7,3,Ground to Floor 4,,1439,14.0,,43.4,13.29,13.29,32862449.98,High-Rise,IN-MH-MUM-P51900009877-19015
62.0,20.0,Mumbai City,P51900009427,Lifescapes Altimo,Peccadily Estate Pvt Ltd,400036,18.96470661,72.80829397,31-12-2012,30-12-2022,0,Residential,539.3,0.0,1836.6,02/20/2023,0,0,11,5,2.0,1,0,36,1,0,45,mumbai-city,0,1,2,20,19,Ground to Floor 1,"Floor 8, Floor 15",97,36.0,,111.6,10.74,10.74,3070482.98,Skyscraper,IN-MH-MUM-P51900009427-18964
21.7,7.0,Mumbai City,P51900014937,Lodha Adrina,MACROTECH DEVELOPERS LIMITED,400013,19.0061049,72.8288291,31-07-2024,31-07-2024,12/31/2025,Residential,2240.81,1420.1,5985.64,03-11-2024,0,0,394,111,4.0,1,6,70,0,0,729,mumbai-city,6,6,7,7,1,Ground to Floor 6,,5986,70.0,,217.0,12.81,12.81,41579314.1,Skyscraper,IN-MH-MUM-P51900014937-19006
21.7,7.0,Mumbai City,P51900001339,LODHA PARK,MACROTECH DEVELOPERS LIMITED,400013,19.0061049,72.8288291,31-12-2021,31-12-2021,12/30/2023,Residential,53345.0,22380.0,188471.3,02/27/2024,0,69,2210,2139,4.0,5,7,77,0,0,4389,mumbai-city,0,0,1,7,7,Ground Only,,26924,77.0,,238.7,12.81,12.81,31167404645.35,Skyscraper,IN-MH-MUM-P51900001339-19006
21.7,7.0,Mumbai City,P51900016526,LODHA PARK - TOWN HOUSES,MACROTECH DEVELOPERS LIMITED,400013,19.0061049,72.8288291,30-12-2021,30-12-2021,0,Residential,3437.94,1537.82,3368.4,02/27/2024,0,2,12,10,48.0,12,72,48,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,481,48.0,,148.8,12.81,12.81,35899107.0,Skyscraper,IN-MH-MUM-P51900016526-19006
21.7,7.0,Mumbai City,P51900011067,South Ridge,Anchor Daewoo Industries Ltd.,400006,18.948198,72.797353,31-01-2020,31-01-2020,01/30/2022,Residential,1927.4,154.19,627.94,06/20/2023,0,0,4,0,2.0,1,3,17,1,5,1,mumbai-city,3,4,5,7,3,Ground to Floor 4,,209,17.0,,52.7,9.91,9.91,3751903.82,High-Rise,IN-MH-MUM-P51900011067-18948
31.0,10.0,Mumbai City,P51900025024,SAMBHAV,Helictite Residency Private Limited,400006,18.94728422,72.79483197,30-12-2028,30-12-2028,0,Residential,363.6,0.0,4077.06,03/18/2024,4,0,10,0,1.0,1,21,20,1,0,116,mumbai-city,0,1,2,10,9,Ground to Floor 1,Floor 8,453,20.0,,62.0,9.86,9.86,4595498.95,High-Rise,IN-MH-MUM-P51900025024-18947
21.7,7.0,Mumbai City,P51900006916,PRAMAN SOLITAIRE,Purohit Luxury Homes Private Limited,400026,18.9662008,72.8047676,31-12-2018,30-12-2021,0,Residential,616.23,0.0,2473.44,01/19/2020,0,0,13,12,0.0,1,9,22,1,0,38,mumbai-city,0,1,2,7,6,Ground to Floor 1,,412,22.0,,68.2,10.81,10.81,4725044.59,High-Rise,IN-MH-MUM-P51900006916-18966
55.8,18.0,Mumbai City,P51900001325,Bishopsgate,Bridgeview Real Estate Development LLP,400026,18.97175064,72.8050646,23-09-2018,30-09-2019,03/29/2021,Residential,1968.42,295.27,3432.01,04-10-2023,0,2,12,10,2.0,1,6,33,1,68,97,mumbai-city,6,7,8,18,11,Ground to Floor 7,Floor 14,312,33.0,,102.3,11.09,11.09,20942475.09,Skyscraper,IN-MH-MUM-P51900001325-18971
18.6,6.0,Mumbai City,P51900000841,ARTESIA - RESIDENTIAL WING CONSTRUCTED ON PART OF THE PROJECT LAND,K RAHEJA PRIVATE LIMITED,400025,19.0083638,72.8223392,30-06-2019,30-12-2023,0,Residential,19640.99,5811.61,62993.62,03-12-2024,1,0,133,130,2.0,1,5,46,1,0,668,mumbai-city,5,6,7,7,1,Ground to Floor 6,,62994,46.0,,142.6,12.92,12.92,3835496887.5,Skyscraper,IN-MH-MUM-P51900000841-19008
40.8,13.16666667,Mumbai City,P51900007928,Elite Crest,Elite Housing Developers LLP,400007,18.9618411,72.8133825,31-12-2016,31-12-2017,07/31/2018,Residential,1120.41,265.93,4521.96,12-05-2022,1,2,34,28,0.0,1,4,23,1,0,1,mumbai-city,4,5,6,13,8,Ground to Floor 5,Floor 12,565,23.0,,71.3,10.59,10.59,15705992.53,High-Rise,IN-MH-MUM-P51900007928-18961
40.8,13.16666667,Mumbai City,P51900003092,SHREEPATI SKIES,SHREEPATI SKIES,400007,18.9618411,72.8133825,31-12-2020,30-12-2026,0,Residential,6238.25,860.64,16896.2,12/22/2022,5,2,269,2,2.0,1,8,53,0,320,0,mumbai-city,0,0,1,13,13,Ground Only,Floor 7,1300,53.0,,164.3,10.59,10.59,326748430.92,Skyscraper,IN-MH-MUM-P51900003092-18961
40.8,13.16666667,Mumbai City,P51900002496,Aikya Signature,AIKYA REALTY PVT LTD,400007,18.9618411,72.8133825,30-06-2021,30-12-2022,0,Others,831.11,0.0,3344.32,10-07-2023,0,0,23,23,0.0,1,0,20,1,0,51,mumbai-city,0,1,2,13,12,Ground to Floor 1,Floor 8,279,20.0,,62.0,10.59,10.59,8616443.17,High-Rise,IN-MH-MUM-P51900002496-18961
31.0,10.0,Mumbai City,P51900002722,THE SOUTH BAY,MESACON TRIUMPH DEVELOPERS,400007,18.959761,72.809763,31-12-2019,31-12-2019,10/30/2020,Residential,589.47,0.0,2387.21,01/19/2023,0,0,4,1,0.0,1,0,17,1,0,35,mumbai-city,0,1,2,10,9,Ground to Floor 1,Floor 8,265,17.0,,52.7,10.49,10.49,4362284.9,High-Rise,IN-MH-MUM-P51900002722-18959
46.5,15.0,Mumbai City,P51900012304,LE PALAZZO,Sri Harsh Developers,400036,18.962172,72.811407,,30-04-2019,08/31/2024,Others,7949.76,0.0,12759.21,01-09-2024,0,18,52,31,1.0,1,2,41,0,0,0,mumbai-city,2,2,3,15,13,Ground to Floor 2,Floor 9,4,15.0,,46.5,10.61,10.61,314441237.6,High-Rise,IN-MH-MUM-P51900012304-18962
62.0,20.0,Mumbai City,P51900014231,S3 Legend,Sanghvi Premises Private Limited,400034,18.968587,72.811407,30-12-2024,30-12-2024,0,Others,316.89,0.0,1900.61,05/24/2023,0,0,52,36,0.0,1,0,23,0,0,24,mumbai-city,0,0,1,20,20,Ground Only,"Floor 7, Floor 14",95,23.0,,71.3,10.93,10.93,1867081.34,High-Rise,IN-MH-MUM-P51900014231-18968
27.9,9.0,Mumbai City,P51900002897,SHREE SAI MAULI,DILIP SHRINIWAS HATE,400016,19.0304841,72.8413805,31-12-2025,30-12-2027,0,Residential,598.29,0.0,519.95,01/17/2024,2,0,2,0,1.0,1,0,21,1,0,1,mumbai-city,0,1,2,9,8,Ground to Floor 1,Floor 8,65,21.0,,65.1,14.02,14.02,964350.75,High-Rise,IN-MH-MUM-P51900002897-19030
77.5,25.0,Mumbai City,P51900009339,NATHANI RESIDENCY,Nathani Parekh Constructions Private Limited,400011,18.97678,72.82492,31-12-2018,30-12-2021,12/31/2024,Others,841.98,279.68,2673.29,03-05-2024,0,0,45,41,1.0,1,3,20,0,0,0,mumbai-city,3,3,4,25,22,Ground to Floor 3,"Floor 10, Floor 17, Floor 24",122,20.0,,62.0,11.34,11.34,6977655.81,High-Rise,IN-MH-MUM-P51900009339-18976
21.7,7.0,Mumbai City,P51900008204,MINERVA,Lokhandwala Kataria Construction Private Limited,400011,18.9884772,72.8291933,31-12-2018,30-12-2023,0,Residential,7907.9,0.0,61271.0,02/13/2024,3,46,372,272,2.0,1,12,68,2,0,1039,mumbai-city,0,2,3,7,5,Ground to Floor 2,,12254,68.0,,210.8,11.92,11.92,1502027316.79,Skyscraper,IN-MH-MUM-P51900008204-18988
31.0,10.0,Mumbai City,P51900047321,Kalpataru Prive,Kalpataru Hills Residency Private Limited,400026,18.96921665,72.81073881,31-10-2027,31-10-2027,0,Residential,1509.18,151.0,6065.28,02/14/2024,2,0,17,0,3.0,1,10,24,0,0,60,mumbai-city,0,0,1,10,10,Ground Only,Floor 7,607,24.0,,74.4,10.96,10.96,28376157.74,High-Rise,IN-MH-MUM-P51900047321-18969
27.9,9.0,Mumbai Suburban,P51800028552,PALI VINTAGE,PRITESH  SANGHVI,400052,19.07311559,72.82716087,30-09-2023,30-09-2023,0,Residential,501.6,0.0,587.01,01/19/2023,0,0,14,0,1.0,1,2,7,1,0,34,mumbai-suburban,2,3,4,9,6,Ground to Floor 3,,98,7.0,,21.7,16.16,16.16,912777.07,Mid-Rise,IN-MH-MUM-P51800028552-19073
21.7,7.0,Mumbai City,P51900019688,Shreeji Heights,Anupam Properties,400004,18.94439,72.82848,30-12-2022,30-12-2022,0,Others,997.5,0.0,0.0,02-07-2024,0,0,28,24,1.0,1,0,22,1,0,95,mumbai-city,0,1,2,7,6,Ground to Floor 1,,0,22.0,,68.2,9.72,9.72,0.0,High-Rise,IN-MH-MUM-P51900019688-18944
21.7,7.0,Mumbai City,P51900003605,Lifescapes Glory,Om Shanti Developers,400012,18.99909323,72.83912731,31-12-2020,30-12-2021,12/31/2024,Residential,2393.27,0.0,5972.88,03/19/2024,0,0,60,32,1.0,1,4,23,1,0,85,mumbai-city,4,5,6,7,2,Ground to Floor 5,,2986,23.0,,71.3,12.45,12.45,44313615.0,High-Rise,IN-MH-MUM-P51900003605-18999
21.7,7.0,Mumbai City,P51900050924,Novelty Grandeur,Goodwill Theaters Private Limited,400007,18.96212329,72.81831591,31-03-2030,31-03-2030,0,Others,2463.0,370.91,5612.61,03-07-2024,9,0,45,5,2.0,1,3,16,1,0,86,mumbai-city,3,4,5,7,3,Ground to Floor 4,,1871,16.0,,49.6,10.61,10.61,42853961.13,High-Rise,IN-MH-MUM-P51900050924-18962
21.7,7.0,Mumbai City,P51900002696,Lifescapes Shubham,Rohan Developers Pvt Ltd,400004,18.958784,72.819584,30-06-2022,30-06-2023,06/29/2024,Residential,5272.61,419.58,31122.15,03/19/2024,2,0,154,125,2.0,3,5,53,2,0,327,mumbai-city,5,7,8,8,1,Ground to Floor 7,,31122,53.0,,164.3,10.44,10.44,508694373.87,Skyscraper,IN-MH-MUM-P51900002696-18958
21.7,7.0,Mumbai City,P51900011232,SHIVOHAM,H G Properties and Investments Private Limited,400007,18.96171895,72.81613037,30-06-2019,30-06-2019,12/31/2023,Residential,524.25,0.0,3052.04,10-04-2022,0,1,74,35,1.0,1,0,23,0,0,52,mumbai-city,0,0,1,7,7,Ground Only,,436,23.0,,71.3,10.59,10.59,4960099.11,High-Rise,IN-MH-MUM-P51900011232-18961
21.7,7.0,Mumbai City,P51900007559,AVENUE 14,SHREE TIRUPATI BUILDERS AND DEVELOPERS,400014,19.02025177,72.8491923,31-12-2018,31-12-2018,0,Residential,566.89,0.0,2400.85,09/27/2019,2,0,19,17,0.0,1,4,21,1,0,32,mumbai-city,4,5,6,7,2,Ground to Floor 5,,1200,21.0,,65.1,13.51,13.51,4219155.36,High-Rise,IN-MH-MUM-P51900007559-19020
21.7,7.0,Mumbai City,P51900020639,52 Avenue,HEKS REALTY,400010,18.981121,72.835476,30-12-2024,30-12-2024,0,Residential,628.77,0.0,3075.33,07-06-2023,2,0,29,13,0.0,1,3,17,1,0,38,mumbai-city,3,4,5,7,3,Ground to Floor 4,,1025,17.0,,52.7,11.56,11.56,5994393.26,High-Rise,IN-MH-MUM-P51900020639-18981
21.7,7.0,Mumbai City,P51900030972,Pearl Heights,M/s Sitesh Developers,400012,18.98871231,72.84638977,30-06-2027,30-06-2027,0,Residential,2220.95,0.0,8775.95,03/20/2024,0,0,148,19,0.0,1,0,26,1,8,8,mumbai-city,0,1,2,7,6,Ground to Floor 1,,1463,26.0,,80.6,11.94,11.94,60421933.07,High-Rise,IN-MH-MUM-P51900030972-18988
21.7,7.0,Mumbai City,P51900010326,LODHA SEAVIEW,MACROTECH DEVELOPERS LIMITED,400006,18.9434407,72.7943697,31-12-2021,30-12-2022,0,Residential,1969.91,0.0,0.0,01/24/2024,0,0,49,25,1.0,1,4,17,0,0,106,mumbai-city,4,4,5,7,3,Ground to Floor 4,,0,17.0,,52.7,9.67,9.67,0.0,High-Rise,IN-MH-MUM-P51900010326-18943
21.7,7.0,Mumbai City,P51900023419,MUSTAFA PALACE,AR GROUP REALTY,400008,18.96659,72.830323,30-03-2023,30-03-2023,0,Residential,369.57,0.0,1791.3,10-09-2021,1,0,43,0,1.0,1,0,18,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,256,18.0,,55.8,10.83,10.83,2052233.3,High-Rise,IN-MH-MUM-P51900023419-18966
21.7,7.0,Mumbai City,P51900007321,BURJ ASHRAFI,IMRAN ALI MOHAMMED LATIF,400003,18.953486,72.834166,31-12-2020,30-12-2021,12/30/2022,Others,1099.6,0.0,7269.24,03/20/2024,1,0,162,131,1.0,1,5,23,1,2,1,mumbai-city,5,6,7,7,1,Ground to Floor 6,,7269,23.0,,71.3,10.17,10.17,24779094.54,High-Rise,IN-MH-MUM-P51900007321-18953
21.7,7.0,Mumbai City,P51900048664,DARUL MUSTAFA,Citymaker Builders Private Limited,400010,18.96438921,72.84440454,31-12-2027,31-12-2027,0,Residential,436.18,0.0,2847.76,09/22/2023,0,0,30,0,2.0,1,4,19,1,0,20,mumbai-city,4,5,6,7,2,Ground to Floor 5,,1424,19.0,,58.9,10.72,10.72,3850621.47,High-Rise,IN-MH-MUM-P51900048664-18964
21.7,7.0,Mumbai City,P51900013981,HAMILTON MANSION,M.I.REALTY PRIVATE LIMITED,400010,18.96534,72.839698,30-12-2022,30-12-2022,12/30/2023,Residential,1055.6,0.0,0.0,01/20/2024,0,0,88,22,0.0,1,4,23,0,0,0,mumbai-city,4,4,5,7,3,Ground to Floor 4,,0,23.0,,71.3,10.77,10.77,0.0,High-Rise,IN-MH-MUM-P51900013981-18965
21.7,7.0,Mumbai City,P51900002869,OMKAR TOWER,DEVENDRA ASSOCIATES,400004,18.95881,72.825269,31-12-2018,31-12-2019,06/30/2025,Residential,542.64,0.0,3916.61,02/23/2023,0,0,89,76,0.0,1,0,20,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,560,20.0,,62.0,10.44,10.44,6588458.68,High-Rise,IN-MH-MUM-P51900002869-18958
21.7,7.0,Mumbai City,P51900010462,NATHANI SQUARE,A.PATNI REALTY PRIVATE LIMITED,400003,18.955921,72.833689,31-12-2021,30-12-2025,0,Others,1291.34,103.49,10428.04,03-05-2024,0,0,357,237,0.0,1,2,25,0,0,0,mumbai-city,2,2,3,7,5,Ground to Floor 2,,2086,25.0,,77.5,10.3,10.3,41745050.04,High-Rise,IN-MH-MUM-P51900010462-18955
21.7,7.0,Mumbai City,P51900010679,BISMILLAH HEIGHTS,MOHAMMED AKRAM HUSAIN NIRBAN,400008,18.963724,72.831489,30-06-2017,30-12-2020,0,Residential,1728.21,0.0,14635.07,02/21/2024,0,2,205,205,1.0,2,3,62,2,0,124,mumbai-city,3,5,6,7,2,Ground to Floor 5,,7318,62.0,,192.2,10.69,10.69,78406670.41,Skyscraper,IN-MH-MUM-P51900010679-18963
21.7,7.0,Mumbai City,P51900019145,RAJKAMAL PRIDE,SUBHAM COMMERCIAL ENTERPRISES PVT. LTD.,400008,18.96646027,72.83130414,30-06-2021,30-06-2021,06/30/2023,Residential,977.01,0.0,5079.0,06/24/2023,0,0,29,14,0.0,1,4,21,1,0,32,mumbai-city,4,5,6,7,2,Ground to Floor 5,,2540,21.0,,65.1,10.82,10.82,15382924.75,High-Rise,IN-MH-MUM-P51900019145-18966
21.7,7.0,Mumbai City,P51900031646,BISMILLAH ELITE,NIRBAN INFRASTRUCTURE PVT LTD,400008,18.96269252,72.83158091,31-12-2024,31-12-2024,0,Mixed (Plots & Buildings),254.18,1.0,2505.48,05-02-2023,0,0,30,6,1.0,1,0,24,0,0,15,mumbai-city,0,0,1,7,7,Ground Only,,358,24.0,,74.4,10.63,10.63,1974213.01,High-Rise,IN-MH-MUM-P51900031646-18962
21.7,7.0,Mumbai City,P51900011681,AL MEHDI HEIGHTS,AL HAADI DEVELOPERS,400009,18.956692,72.836601,20-04-2020,20-04-2020,12/31/2023,Residential,1369.58,406.51,10905.66,12/16/2022,0,0,223,155,1.0,1,4,37,0,0,0,mumbai-city,4,4,5,7,3,Ground to Floor 4,,3635,37.0,,114.7,10.33,10.33,46302138.85,Skyscraper,IN-MH-MUM-P51900011681-18956
21.7,7.0,Mumbai City,P51900012474,ROYALE IMPERIA,MITHA DEVELOPERS,400012,19.000747,72.838809,31-12-2019,31-12-2019,12/31/2025,Others,719.9,0.0,2505.88,05/14/2022,0,0,71,68,1.0,1,2,25,0,0,34,mumbai-city,2,2,3,7,5,Ground to Floor 2,,501,25.0,,77.5,12.54,12.54,5592347.34,High-Rise,IN-MH-MUM-P51900012474-19000
21.7,7.0,Mumbai City,P51900013466,ORBIT TERRACES,ORBIT CORPORATION LTD,400013,19.00331,72.830858,31-12-2018,30-12-2023,0,Residential,6006.44,0.0,13688.03,09/29/2017,4,1,140,140,2.0,1,11,45,1,0,1,mumbai-city,0,1,2,7,6,Ground to Floor 1,,2281,45.0,,139.5,12.67,12.67,254870625.83,Skyscraper,IN-MH-MUM-P51900013466-19003
21.7,7.0,Mumbai Suburban,P51800002608,PRABHAT DARSHAN,SHIVALIK VENTURES PRIVATE LIMITED,400055,19.06751476,72.84179242,30-06-2023,30-06-2023,0,Residential,1887.1,150.96,4527.53,01/15/2024,0,0,145,145,1.0,1,0,16,1,10,2,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,755,16.0,,49.6,15.88,15.88,26486095.78,High-Rise,IN-MH-MUM-P51800002608-19067
21.7,7.0,Mumbai City,P51900052888,Aryam,MYRA INFRASTRUCTURE,400002,18.9463067,72.8250359,31-12-2027,31-12-2027,0,Others,531.78,134.08,3944.29,02-07-2024,0,0,63,0,1.0,1,0,20,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,563,20.0,,62.0,9.82,9.82,6502233.06,High-Rise,IN-MH-MUM-P51900052888-18946
21.7,7.0,Mumbai City,P51900002961,Pearl Crest,RISHIRAJ DEVELOPERS PRIVATE LIMITED,400014,19.016868,72.849739,31-12-2018,31-12-2019,12/30/2021,Residential,594.48,0.0,2030.41,02/25/2022,0,2,24,19,0.0,1,5,22,1,0,30,mumbai-city,5,6,7,7,1,Ground to Floor 6,,2030,22.0,,68.2,13.34,13.34,3741818.22,High-Rise,IN-MH-MUM-P51900002961-19016
21.7,7.0,Mumbai City,P51900005991,22 Dhuleva,Safal realtor and Developers Pvt Ltd,400012,19.006571,72.847137,31-12-2017,31-12-2019,12/30/2022,Residential,1287.68,0.0,3665.36,03/20/2023,0,2,58,25,0.0,1,0,21,1,0,1,mumbai-city,0,1,2,7,6,Ground to Floor 1,,611,21.0,,65.1,12.83,12.83,14631413.37,High-Rise,IN-MH-MUM-P51900005991-19006
